code	product_name_fr	generic_name_fr	quantity	packaging	brands	categories	allergens	energy.kcal_value	fat_value	saturated.fat_value	sugars_value	proteins_value	salt_value	off.nutriscore_score	Sandwich
2000000047067	Sauce Big Mac	Sauce Big Mac pour hamburgers	Inconnu	Plastique, Carton	McDonald's	en:groceries, Sauces, Sauces pour hamburgers	Œufs, Moutarde	NA	NA	NA	NA	NA	NA	NA	Non
2000000050192	Chicken Mythic	NA	286 g	Carton	McDonald's	Sandwichs, Hamburgers	Céleri, Œufs, Gluten, Lait, Moutarde, Graines de sésame, Soja, Avoine	NA	13	3,1	3	9,4	1,1	3	Oui
2000000051134	Beef BBQ Burger 1 viande	NA	296 g	Papier, Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Graines de sésame	NA	8	4,1	3	11	1,7	12	Oui
2000000025242	Grand Big Mac	NA	351 g	Carton	McDonald's	Sandwichs, Hamburgers	Œufs, Gluten, Lait, Moutarde, Graines de sésame, Anhydride sulfureux et sulfites	NA	NA	NA	NA	NA	NA	NA	Oui
2000000058842	Mc Café	NA	18 g	Plastique	McDonald's	Boissons, Petit-déjeuners, Cacao et dérivés, Cacaos et chocolats en poudre, Boissons instantanées, Chocolats en poudre, Boissons avec sucre ajouté	Gluten	381	7	4,4	57	6,5	0,05	NA	Non
66188003127	McCafé Torréfaction Mi-Noire	McCafé Torréfaction Mi-Noire	340 g	Plastique, Sachet	McDonald's	Aliments et boissons à base de végétaux, Aliments d'origine végétale, Cafés, Cafés moulus	NA	NA	NA	NA	NA	NA	NA	NA	Non
2000000037576	Recette à l'Emmental Français et aux Échalotes Grillées	NA	350 g	Carton	McDonald's	Sandwichs, Hamburgers	Céleri, Œufs, Gluten, Lait, Moutarde, Graines de sésame, Avoine	NA	11	5,1	1	11	0,86	9	Oui
2000000036895	Sauce Creamy Deluxe	Sauce à la crème	25 ml	Plastique	McDonald's	en:groceries, Sauces, Sauces à la crème	Œufs, Lait	NA	8,2	1	0,3	0,2	0,3	11	Non
2000000024637	Grand Big Mac Chicken	Hamburger poulet pané	360 g	Carton	McDonald's	Sandwichs, Sandwichs à la volaille, Sandwichs au poulet, Hamburgers, Fastfood	Céleri, Œufs, Gluten, Lait, Moutarde, Graines de sésame, Anhydride sulfureux et sulfites	NA	NA	NA	NA	NA	NA	NA	Oui
2000000047064	Emmental	Tranches d'emmental fondu (code-barres 02303XXX)	Inconnu	Boîte, Carton, Frais, Carton$Boîte	McDonald's	Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages à pâte pressée cuite, Fromages de vache, Emmentals, Fromages en tranches, Fromages fondus	Lait	NA	NA	NA	NA	NA	NA	NA	Non
2000000003782	Moyen Coca Cola Light	NA	40 cl	Carton, Gobelet	McDonald's	Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Sodas au cola, Sodas light, Sodas au cola light, Boissons sans sucre ajouté	NA	NA	0	0	0	0	0	0	Non
2000000003783	Moyen Coca-Cola	NA	40 cl	Carton, Gobelet	McDonald's	Boissons, Boissons gazeuses, Sodas, Sodas au cola, Boissons avec sucre ajouté	NA	NA	0	0	11	0	0	14	Non
2000000003784	Coca Cola Zero (40cl)	NA	402 g	Carton, Gobelet	McDonald's	Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Sodas au cola, Sodas light, Sodas au cola light, Boissons avec sucre ajouté	NA	NA	0	0	0	0	0,1	0	Non
2000000003759	Double Cheese	Pain spécial, steaks hachés, fromage fondu, oignons, cornichons, moutarde, ketchup	173 g	Carton	McDonald's	Sandwichs, Cheeseburgers	Gluten, Lait, Moutarde, Graines de sésame, Anhydride sulfureux et sulfites	NA	14	6,9	4,5	15	1,5	14	Oui
2000000027659	Salade Chicken Caesar	Salade composée d'un mélange de romaine, de morceaux de filet de poulet saumuré rôti, de fromage à pâte dure affiné, de tomate cerise et de ciboulette	160 g	Plastique	McDonald's	Plats préparés, Produits à la viande, Plats à base de pâtes, en:salads, Plats préparés à la viande, Salades composées, Salades de pâtes, Plats à la volaille, Plats au poulet, Salades caesar, Salades de légumes	Œufs, Lait	NA	5	2,8	0,4	11,7	0,77	0	Non
2000000030969	Salade Chicken Caesar	Salade composée d'un mélange de romaine et de batavia, de morceaux de poulet*, de poivre noir, de copeaux de fromage (et de croûtons saveur ail et fines herbes)	140 g	Plastique, Barquette	McDonald's	Plats préparés, Frais, Produits à la viande, en:salads, Plats préparés à la viande, Salades composées, Plats préparés frais, Plats à la volaille, Plats au poulet, Salades de légumes	Lait	119	5,2	3	1,3	14,8	1,1	0	Non
